size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,Family_Label,label
486840,7,7,2.807354922,68022.85714,512,327680,476160,3.775675859,0,6.114874112,0,1,0,207,27,207,7.666666667,0,4,0,0,0,0,0,2,0,64,256,0,0,0,1660,15.27168675,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,6.114874112,0,Benign,0
402944,4,4,2,5760,1024,14336,23040,4.191117334,0.394088063,6.329115278,0,1,0,39,3,39,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4594,4.660208968,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,6.329115278,0,Ransomware,1
270848,5,5,2.321928095,53964.8,512,168448,269824,4.656404547,2.847151588,6.368414168,0,1,0,112,15,112,7.466666667,0,3,0,0,0,0,0,2,0,64,256,0,0,0,4316,15.22706209,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,6.368414168,0,Benign,0
148480,4,4,2,36864,2560,94720,147456,5.91672656,5.035095771,7.977098501,0,1,1,455,9,424,50.55555556,0,12,0,0,0,0,0,2,0,64,256,0,0,0,1754,8.463511973,1,1,0,0,0,1,1,1,1,0,1,1,8,0,0,0,0,1,0,5.600924759,0,Spyware,1
11631104,8,8,3,1453760,0,6074368,11630080,4.345218835,0,6.998420103,1,1,0,533,14,532,38.07142857,0,6,0,0,0,0,0,2,0,0,0,0,0,0,31733,13.76015504,1,1,0,1,0,1,1,1,1,0,0,1,8,1,0,1,0,1,0,5.953935008,0,Benign,0
112128,6,6,2.584962501,18517.33333,512,91136,111104,3.714940773,0.301406807,7.13111221,0,1,0,78,8,78,9.75,1,3,38,7,0,0,0,2,0,64,256,0,0,0,1196,8.137123746,1,0,0,0,0,1,1,0,0,0,0,1,5,0,1,0,0,1,0,6.202953108,0,Benign,0
64944,11,11,3.459431619,4577.090909,0,35328,50348,3.215836713,0,6.217208106,1,1,0,74,3,74,24.66666667,0,2,0,0,0,0,0,2,0,64,256,0,0,0,644,10.92236025,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,6.217208106,0,Benign,0
63977,3,3,1.584962501,9728,0,18944,29184,4.447718189,0,7.694568291,1,1,2,14,9,14,1.555555556,0,3,0,0,1,0,0,2,0,0,0,0,0,0,839,14.13110846,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7.694568291,0,Benign,0
417792,4,4,2,103424,16384,266240,413696,6.384143523,4.438359751,7.815984203,0,1,0,50,3,50,16.66666667,0,3,0,0,0,0,0,2,0,0,0,0,0,0,4064,4.884104331,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,1,0,6.073733489,0,Trojan,1
228016,6,6,2.584962501,23552,0,96768,141312,3.726315686,0,6.497884652,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,1733,8.869013272,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884652,0,Benign,0
